id,type,title,genre,description,published_at,content_rating,rating_value,rating_count,duration,keywords,directors,actors
tt2537390,Movie,Slow Learners,"['Comedy', 'Romance']","Jeff and Anne, two close friends and co-workers, are embarrassingly unlucky at love. They hatch a plan to transform themselves over the course of a sex-and-alcohol-fueled summer.",2015-08-19,Not Rated,5.8,2864,96,"['friend', 'philadelphia pennsylvania', 'e cigarette', 'librarian', 'blonde']","['Don Argott', 'Sheena M. Joyce']","['Adam Pally', 'Megan Neuringer', 'Bobby Spears Jr.']"
tt2387559,Movie,Delivery Man,"['Comedy', 'Drama']",An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,2014-01-09,12,6.3,82559,105,"['sperm donor', 'biological father', 'artificial insemination', 'female police officer', 'pregnant female police officer']",['Ken Scott'],"['Vince Vaughn', 'Chris Pratt', 'Cobie Smulders']"
tt0454921,Movie,The Pursuit of Happyness,"['Biography', 'Drama']",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career,2007-02-01,6,8,555824,117,"['motivational', 'passion', 'hardwork', 'hare krishna', 'american dream']",['Gabriele Muccino'],"['Will Smith', 'Thandiwe Newton', 'Jaden Smith']"
tt0096976,Movie,Breaking In,"['Adventure', 'Comedy']","Professional thief Ernie takes Mike on as an apprentice, but while Mike clearly has ""larceny in his heart"", it will take him a long time to get as good as Ernie.",1989-10-13,R,6.1,1747,94,"['portland oregon', 'safecracker', 'prostitute', 'golf', 'prison']",['Bill Forsyth'],"['Burt Reynolds', 'Casey Siemaszko', 'Sheila Kelley']"
tt2234315,Movie,Occupy Unmasked,['Documentary'],An alternate look at Occupy Wall Street camps around the country.,2012-09-21,Not Rated,5,610,76,"['occupy wall street', 'tea party movement', 'community organizing', 'anarchist', 'reference to radiohead the band']",['Steve Bannon'],"['Saul Alinsky', 'Anthony Averest', 'Bill Ayers']"
tt0319262,Movie,The Day After Tomorrow,"['Action', 'Adventure', 'Sci-Fi']","Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",2004-05-27,12,6.5,473295,124,"['global warming', 'end of the world', 'climate crisis', 'disaster film', 'climate']",['Roland Emmerich'],"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum']"
tt0089129,Movie,Fast Forward,"['Drama', 'Musical']",Eight small-town teens travel to New York City for a one-in-a-million shot at stardom in a national dance competition.,1985-02-15,PG,5.5,782,110,"['cult film', 'strong female character', 'dance off', 'rape attempt', 'pop musical']",['Sidney Poitier'],"['John Scott Clough', 'Don Franklin', 'Tamara Mark']"
tt0118113,Movie,Walking and Talking,"['Comedy', 'Drama', 'Romance']","Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",1996-07-17,R,6.7,3908,86,"['wedding day', 'garden party', 'lack of money', 'ex boyfriend ex girlfriend sex', 'female friendship']",['Nicole Holofcener'],"['Catherine Keener', 'Anne Heche', 'Amy Braverman']"
tt0166396,Movie,Waking Ned,['Comedy'],"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",1999-07-15,AL,7.3,27867,91,"['two word title', 'car', 'german car', 'riding a motorcycle naked', 'high concept comedy']",['Kirk Jones'],"['Ian Bannen', 'David Kelly', 'Fionnula Flanagan']"
tt0089489,Movie,Lifeforce,"['Action', 'Horror', 'Mystery']","A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",1985-10-10,16,6.1,29177,101,"['alien', 'space vampire', 'zombie', 'alien invasion', 'mind control']",['Tobe Hooper'],"['Steve Railsback', 'Mathilda May', 'Peter Firth']"
tt0090583,Movie,About Last Night...,"['Comedy', 'Drama', 'Romance']","A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",1986-11-20,AL,6.3,17213,113,"['kissing while having sex', 'sex in bed', 'sex in a bathtub', 'chicago illinois', 'ellipsis in title']",['Edward Zwick'],"['Rob Lowe', 'Demi Moore', 'Jim Belushi']"
tt0339071,Movie,Girls Will Be Girls,"['Comedy', 'Romance']","Three actresses at various places on the Hollywood food chain navigate the minefield of love, aging, and ambition. Oh, and they're all played by men!",2006-07-05,R,6.9,1586,79,"['killing an animal', 'poisoning an animal', 'police officer', 'box', 'closet']",['Richard Day'],"['Jack Plotnick', 'Clinton Leupp', 'Jeffery Roberson']"
tt0429493,Movie,The A-Team,"['Action', 'Adventure', 'Crime']","A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",2010-06-10,12,6.7,268157,117,"['based on tv series', 'team action', 'cia agent', 'prison', 'captain']",['Joe Carnahan'],"['Liam Neeson', 'Bradley Cooper', 'Sharlto Copley']"
tt0093660,Movie,Nuts,"['Drama', 'Thriller']",A high-class call girl accused of murder fights for the right to stand trial rather than be declared mentally incompetent.,1988-03-03,R,6.6,7535,116,"['call girl', 'flashback', 'one against many', 'temper', 'mental competency hearing']",['Martin Ritt'],"['Barbra Streisand', 'Richard Dreyfuss', 'Maureen Stapleton']"
tt0102322,Movie,Livin' Large!,"['Comedy', 'Drama']",A young black reporter begins to lose his identity.,1991-09-20,R,5,526,96,"['apostrophe in title', 'exclamation point in title', 'television producer', 'television studio', 'television executive']",['Michael Schultz'],"[""Terrence 'T.C.' Carson"", 'Lisa Arrindell', 'Blanche Baker']"
tt0106701,Movie,Dennis the Menace,"['Comedy', 'Family']","When his parents must go out of town on business, Dennis stays with Mr. and Mrs. Wilson. He is driving Mr. Wilson crazy, but he is just trying to be helpful, even to the thief who has arrived in town.",1993-07-29,6,5.7,64518,94,"['problem child', 'villain', 'copy machine', 'gold coin', 'robbing']",['Nick Castle'],"['Walter Matthau', 'Mason Gamble', 'Joan Plowright']"
tt0181733,Movie,On the Ropes,"['Documentary', 'Drama', 'Sport']",The story of three young boxers and their coach who is determined to guide them in a positive direction in and out of the ring.,1999-01-22,,7.3,480,94,"['boxing documentary', 'sports documentary', 'boxing sport', 'boxer', 'young']","['Nanette Burstein', 'Brett Morgen']","['Sam Doumit', 'Martin Goldman', 'Harry Keitt']"
