id,size,width,height,pixels,movie_year,red_pixels,green_pixels,blue_pixels,object detected
tt2371411,31464,300,400,120000,2012,12532910,10743696,8679655,"woman 0.342, woman 0.128, woman 0.064, woman 0.051, microphone 0.046, woman 0.037, instrument 0.034, woman 0.033, woman 0.026, man 0.025, instrument 0.024, woman 0.019, microphone 0.014, microphone 0.014, woman 0.014, woman 0.010, woman 0.010, airplane 0.009, woman 0.009, instrument 0.009, microphone 0.008, instrument 0.008, weapon 0.006, weapon 0.006, instrument 0.006, man 0.006, microphone 0.005, instrument 0.004, instrument 0.004, woman 0.004, microphone 0.003, microphone 0.003"
tt1602620,31481,300,445,133500,2012,6648920,6696796,8631043,"woman 0.228, man 0.077, woman 0.064, woman 0.008, man 0.007, woman 0.004"
tt1212450,31496,300,443,132900,2012,9840321,9454513,10341368,"man 0.523, woman 0.195, woman 0.083, instrument 0.072, man 0.062, instrument 0.053, woman 0.034, woman 0.015, woman 0.012, woman 0.011, instrument 0.009, instrument 0.007, man 0.007, woman 0.005, microphone 0.005, man 0.005, instrument 0.005, instrument 0.004"
tt1772341,31746,300,444,133200,2012,9293656,8132168,14306405,"man 0.417, animal 0.079, animal 0.057, animal 0.015, animal 0.012, animal 0.011, animal 0.008, animal 0.007, animal 0.007, animal 0.006, animal 0.005, animal 0.005, animal 0.004, animal 0.004, animal 0.004, animal 0.003"
tt1540128,31767,300,463,138900,2012,14803373,18244676,19806032,"woman 0.500, man 0.491, man 0.336, woman 0.313, woman 0.212, instrument 0.008, instrument 0.005"
tt1702425,31768,300,433,129900,2012,18747761,22491268,26443756,"man 0.373, woman 0.371, instrument 0.193, animal 0.010, man 0.005, roses 0.005, microphone 0.005"
tt1371111,31788,300,445,133500,2012,7991658,8891944,9045554,"instrument 0.221, woman 0.176, woman 0.077, woman 0.059, woman 0.048, woman 0.046, man 0.036, man 0.030, animal 0.028, man 0.018, man 0.016, man 0.014, car 0.012, instrument 0.010, woman 0.010, woman 0.009, airplane 0.009, man 0.007, woman 0.006, man 0.006, microphone 0.006, man 0.006, woman 0.005, microphone 0.005, microphone 0.004, microphone 0.004, woman 0.003, car 0.003"
tt2041488,31818,300,445,133500,2012,21983517,21316384,22407820,"man 0.534, woman 0.210, man 0.124"
tt2215366,31839,300,411,123300,2012,5670015,6534857,6398184,"animal 0.414, animal 0.035, animal 0.018, animal 0.012"
tt2130321,31887,300,445,133500,2012,7085422,6898978,18008655,"man 0.454, microphone 0.069, microphone 0.060, microphone 0.057, microphone 0.044, microphone 0.040, microphone 0.031, microphone 0.025, microphone 0.019, instrument 0.019, microphone 0.012, weapon 0.010, microphone 0.009, microphone 0.009, microphone 0.008, microphone 0.007, microphone 0.007, microphone 0.006, microphone 0.006, microphone 0.005, microphone 0.005, weapon 0.005, microphone 0.005, microphone 0.005, microphone 0.004, instrument 0.004, instrument 0.004, instrument 0.004, microphone 0.003, instrument 0.003, weapon 0.003"
tt2974104,31895,300,433,129900,2012,23071484,20470057,19451890,"woman 0.130, woman 0.119, woman 0.037, woman 0.034, roses 0.026, woman 0.013, animal 0.012, woman 0.011, animal 0.005, animal 0.004"
tt1866249,31911,300,443,132900,2012,24694444,13748320,5690001,"woman 0.373, woman 0.082, woman 0.022, man 0.017, man 0.015, woman 0.011, woman 0.010, woman 0.008, woman 0.007, woman 0.006, car 0.006, woman 0.005, woman 0.004, woman 0.004"
tt1959550,31953,300,383,114900,2012,6666919,9594873,16364055,"woman 0.075, man 0.049, man 0.039, man 0.020, man 0.018, man 0.011, woman 0.007, animal 0.006, microphone 0.004"
